Date	Time	Ch1:Conce:Vol%	Status	Ch2:Conce:Vol%	Status	Ch3:Conce:Vol%	Status	Ch4:Conce:Vol%	Status	Ch5:Conce:Vol%	Status
17.2.2025	14:58:23	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:28	0.05	M	0.01	G	0.02	G	-0.16	G	21.40	G
17.2.2025	14:58:33	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:38	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:43	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:48	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:53	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:58:58	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:03	0.05	M	0.00	G	0.02	G	-0.16	G	21.40	G
17.2.2025	14:59:08	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:13	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:18	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:23	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:28	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:33	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:38	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:43	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:48	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:53	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	14:59:58	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:03	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:08	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:13	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:18	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:23	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:28	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:33	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:38	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:43	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:48	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:53	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:00:58	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:03	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:08	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:13	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:18	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:23	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:28	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:33	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:38	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:43	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:48	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:53	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:01:58	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:03	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:08	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:13	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:18	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:23	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:28	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:33	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:38	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:43	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:48	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:53	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:02:58	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:03	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:08	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:13	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:18	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:23	0.05	M	0.00	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:28	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
17.2.2025	15:03:33	0.05	M	0.01	G	0.01	G	-0.16	G	21.40	G
